y x1 x2 x3 x4 x5 x6 x7
76.449 1 54.032 0.548 5.246 7 0.405 104.976
134.064 0 59.612 0.593 5.927 11 6.968 95.579
57.38 0 70.514 0.435 4.664 4 0.478 99.343
124.195 1 62.138 0.748 7.402 13 3.138 103.665
111.65 1 64.963 0.427 4.612 14 2.313 109.38
102.816 1 54.394 0.924 9.068 6 0.849 109.839
121.61 1 48.626 0.273 2.314 9 4.657 94.075
106.945 1 59.16 0.202 2.713 15 3.606 94.726
181.948 1 44.434 0.236 2.184 9 11.504 95.359
86.981 1 55.045 0.794 7.825 11 0.279 113.39
126.94 1 58.87 0.66 7.269 10 4.254 74.915
100.994 1 29.425 0.323 2.717 12 1.637 108.423
85.853 1 49.158 0.51 5.055 14 0.289 98.443
120.725 1 70.901 0.612 5.526 10 2.245 99.724
75.452 1 55.912 0.351 3.703 15 0.525 109.418
93.577 1 33.405 0.286 2.297 16 1.52 120.323
127.754 0 43.607 0.438 4.061 12 5.39 99.127
121.553 0 46.014 0.598 7.206 17 5.21 104.523
259.91 0 53.691 0.49 5.199 7 18.767 101.077
139.141 1 44.696 0.503 5.493 17 6.149 107.87
77.984 1 57.332 0.351 3.732 13 0.331 103.361
153.053 1 59.978 0.72 8.421 13 6.476 89.92
102.6 1 57.856 0.738 6.851 15 1.576 96.532
137.656 1 57.51 0.662 7.098 8 3.532 96.823
121.219 0 56.72 0.295 2.753 13 5.112 91.511
90.178 1 30.131 0.355 4.042 8 0 106.225
105.883 1 43.997 0.37 3.952 11 1.68 115.233
129.339 1 71.552 0.309 2.15 14 3.433 93.044
110.47 0 46.075 0.485 4.734 12 4.357 98.94
99.704 0 62.296 0.473 4.942 14 4.609 93.36
102.073 0 36.625 0.404 3.364 7 4.735 100.166
104.237 0 59.731 0.169 2.443 7 5.657 84.11
51.625 0 65.759 0.425 4.496 19 0.006 106.168
91.914 0 59.848 0.304 1.859 10 3.85 115.067
115.792 1 67.193 0.354 3.514 13 1.865 112.935
217.969 1 34.623 0.338 3.473 8 13.901 106.73
130.705 1 71.367 0.472 4.565 17 5.053 90.341
64.728 0 57.905 0.359 2.946 10 0.494 102.345
103.301 0 35.598 0.572 5.028 13 4.848 91.665
163.917 1 58.41 0.377 4.824 8 7.646 108.905
61.437 1 39.6 0.397 4.213 12 0.08 116.108
103.488 0 42.39 0.267 2.377 12 3.065 101.245
90.412 1 41.333 0.475 4.961 3 2.246 84.644
101.865 1 47.232 0.362 3.746 5 1.104 101.778
92.651 0 55.612 0.42 4.831 11 2.314 102.587
74.773 0 69.747 0.397 4.922 7 2.463 108.375
185.831 1 45.547 0.565 6.385 10 8.604 93.969
128.203 1 55.215 0.558 5.829 8 4.644 80.978
176.423 1 55.594 0.273 2.861 17 7.954 113.407
119.901 0 32.4 0.64 5.753 11 5.439 98.533
154.71 1 59.46 0.65 6.772 8 5.613 92.999
103.397 1 52.183 0.181 1.976 11 3.083 100.94
81.018 1 55.729 0.483 4.774 9 0.06 95.692
115.378 1 54.578 0.659 5.416 11 4.662 119.214
172.26 0 73.73 0.508 4.792 17 9.806 91.409
84.73 1 55.792 0.689 7.269 8 0.043 113.385
151.601 1 70.461 0.655 7.19 11 6.2 105.98
87.05 1 64.992 0.454 4.261 14 0.214 102.67
90.775 1 50.894 0.618 6.296 7 0.337 111.059
126.348 1 54.6 0.689 7.156 8 2.441 100.885
86.069 0 59.506 0.723 7.352 11 0.831 112.293
126.107 0 58.826 0.284 2.646 7 6.347 85.003
